stride_number,start_time_sec,end_time_sec,duration_sec,min_angle_deg,max_angle_deg,rom_deg
83,96.85808515548706,97.4217517375946,0.563666582107544,-13.808384149576737,4.286583563106517,18.094967712683253
84,97.4217517375946,98.12950348854065,0.7077517509460449,0.5537710032061333,5.651472562377091,5.097701559170957
85,98.12950348854065,98.84914922714233,0.7196457386016846,-22.878670409619176,2.329174540805182,25.20784495042436
86,98.84914922714233,99.58089208602905,0.7317428588867188,-11.858432907551682,-1.8083482362182461,10.050084671333437
87,99.58089208602905,100.30088996887207,0.7199978828430176,-46.866955655990786,-6.43891349154998,40.428042164440804
88,100.30088996887207,107.6748149394989,7.373924970626831,-30.932272502270166,0.10562855420649721,31.037901056476663
89,107.6748149394989,108.47832155227661,0.80350661277771,-12.887618064593426,1.842895077881283,14.730513142474708
90,108.47832155227661,109.08841824531555,0.6100966930389404,0.26032348532798116,22.295091980863308,22.034768495535328
91,109.08841824531555,110.43999218940735,1.3515739440917969,-0.4234286405693427,18.61308524680432,19.036513887373662
92,110.43999218940735,111.13376498222351,0.6937727928161621,3.4164111138511526,7.191387395297634,3.774976281446482
93,111.13376498222351,111.69503831863403,0.5612733364105225,-0.7442250162800813,21.39760797906336,22.14183299534344
94,111.69503831863403,112.52086782455444,0.8258295059204102,1.3669435040922728,19.63379810960603,18.266854605513757
95,112.52086782455444,113.02487134933472,0.5040035247802734,0.5196723911847685,17.751012096378982,17.231339705194213
96,113.02487134933472,114.28057384490967,1.2557024955749512,0.4484846394522967,15.605253715468097,15.1567690760158
97,114.28057384490967,115.01026654243469,0.7296926975250244,-0.26850943459619764,8.69647874433438,8.964988178930577
98,115.01026654243469,115.57154250144958,0.5612759590148926,-10.771334400476178,7.415644525674016,18.186978926150193
99,115.57154250144958,116.338219165802,0.766676664352417,0.8703006615025337,14.40690985047623,13.536609188973697
100,116.338219165802,116.93634629249573,0.5981271266937256,14.40690985047623,64.88067791693676,50.47376806646053
101,116.93634629249573,117.71326303482056,0.7769167423248291,20.49077730581576,53.65186062136028,33.161083315544516
102,117.71326303482056,118.29994463920593,0.586681604385376,20.0656705523334,35.392517048210735,15.326846495877334
103,118.29994463920593,118.994544506073,0.6945998668670654,12.253038299620966,30.394651532789407,18.141613233168442
104,118.994544506073,119.56885075569153,0.5743062496185303,-5.6114016693623405,12.253038299620966,17.864439968983305
105,119.56885075569153,120.28680849075317,0.7179577350616455,1.1760487130504995,5.769587562395543,4.593538849345044
106,120.28680849075317,120.86145257949829,0.5746440887451172,-16.936434563124106,1.1760487130504995,18.112483276174604
107,120.86145257949829,121.51890683174133,0.657454252243042,-7.463750737307473,0.7727759463015341,8.236526683609007
108,121.51890683174133,122.12979412078857,0.6108872890472412,-26.79641526085258,-2.4040485096001363,24.392366751252442
109,122.12979412078857,122.8833212852478,0.7535271644592285,-12.013398642472533,-1.4918255817841666,10.521573060688366
110,122.8833212852478,123.43286466598511,0.5495433807373047,-19.28370107558445,-2.353258423647005,16.930442651937444
111,123.43286466598511,124.16291975975037,0.7300550937652588,-5.480360248379953,2.800012627801497,8.28037287618145
112,124.16291975975037,124.79811906814575,0.6351993083953857,-27.30056656637308,0.8791865373088626,28.179753103681943
113,124.79811906814575,125.65983629226685,0.8617172241210938,-16.176949518074007,-2.777461670254786,13.399487847819222
114,125.65983629226685,126.31866002082825,0.6588237285614014,-44.1295212033283,-16.176949518074007,27.952571685254295
