sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz,time_sec,dt,lower_vertical_g,lower_anterior_g,upper_vertical_g,upper_anterior_g,lower_flexion_rate_dps,upper_flexion_rate_dps,lower_acc_angle_deg,upper_acc_angle_deg,lower_angle_deg,upper_angle_deg,knee_angle_raw_deg,knee_angle_deg,knee_angle_smooth_deg,lower_acc_norm_g,upper_acc_norm_g,lower_gyro_norm_dps,upper_gyro_norm_dps,motion_intensity,motion_intensity_smooth,lower_acc_norm_smooth,jerk,abs_jerk_smooth
4114,1779654344.5568762,-0.927001953125,0.3330078125,-0.19189453125,-25.38931297709924,-10.82442748091603,46.09160305343512,-0.010498046875,-0.999267578125,0.025146484375,21.19083969465649,-5.877862595419847,52.74809160305343,48.896889448165894,0.011989831924438477,0.927001953125,-0.19189453125,0.999267578125,0.025146484375,-10.82442748091603,-21.19083969465649,-11.69535676874449,1.4415392173946953,-16.6738245789686,-3.4316902433580454,-13.242134335610555,2.585883918046278,2.4934597943806533,1.003518976107207,0.9996390585388382,53.72356387819166,57.148596863084755,111.02735744401116,112.08759503067304,1.0086573401380785,0.06581958266940546,0.5192207909996853
4115,1779654344.5688612,-0.92919921875,0.329345703125,-0.212158203125,-22.404580152671755,-11.717557251908396,46.61832061068702,-0.02197265625,-0.9912109375,-0.002197265625,21.091603053435115,-4.595419847328245,50.038167938931295,48.90887451171875,0.011985063552856445,0.92919921875,-0.212158203125,0.9912109375,-0.002197265625,-11.717557251908396,-21.091603053435115,-12.861511735772956,-0.12701014063303676,-16.735205277086074,-3.6133251602700454,-13.121880116816028,2.7061381368408046,2.5919552848926006,1.008410077025086,0.9914568816739013,53.033330805542,54.495796660124014,108.20725527971341,112.93421605766142,1.0116300201666686,0.5734341127605731,0.5541187970206575
4116,1779654344.5808656,-0.924560546875,0.318115234375,-0.233154296875,-20.908396946564885,-12.610687022900764,46.83206106870229,-0.032958984375,-0.991943359375,-0.008056640625,20.6793893129771,-4.259541984732825,49.54961832061068,48.920878887176514,0.012004375457763672,0.924560546875,-0.233154296875,0.991943359375,-0.008056640625,-12.610687022900764,-20.6793893129771,-14.153659978954652,-0.46535051659404836,-16.83193012449063,-3.793643957875763,-13.038286166614867,2.7897320870419655,2.6850766736164244,1.005171842686879,0.9925234668849661,52.815077714676725,53.86042625152136,107.18143899827459,114.05489307652223,1.022426281205491,0.7488204141712274,0.5707331929984439
4117,1779654344.592879,-0.9169921875,0.333984375,-0.23876953125,-21.419847328244277,-13.9618320610687,47.19083969465649,-0.047607421875,-0.99951171875,-0.013916015625,21.48854961832061,-4.0458015267175576,48.50381679389313,48.93289232254028,0.012013435363769531,0.9169921875,-0.23876953125,0.99951171875,-0.013916015625,-13.9618320610687,-21.48854961832061,-14.59478980361063,-0.7976669354066566,-16.951562293757974,-3.986712693289213,-12.96484960046876,2.8631686531880725,2.775603434453801,1.0047044957267388,1.0007416240104328,53.67232028852066,53.20476029706521,107.09492537507273,115.29901551597511,1.0296123184262505,0.4752611463855487,0.6222727870806765
4118,1779654344.6048603,-0.930908203125,0.3759765625,-0.2431640625,-18.137404580152676,-15.068702290076336,48.06106870229008,-0.03515625,-1.043701171875,-0.009033203125,19.69465648854962,-2.2595419847328246,44.80152671755725,48.944873571395874,0.01198124885559082,0.930908203125,-0.2431640625,1.043701171875,-0.009033203125,-15.068702290076336,-19.69465648854962,-14.639223316911641,-0.4958809147162458,-17.0822465488479,-4.148143306622149,-12.93410324222575,2.8939150114310834,2.8650655347991836,1.0329942978962838,1.044332177444518,53.53407847733388,48.991446400435414,105.61858389140137,116.72832702798891,1.0338379235385207,1.0619066573203781,0.6674177871107801
4119,1779654344.6168394,-0.967529296875,0.46826171875,-0.20068359375,-21.38167938931298,-16.16793893129771,53.786259541984734,-0.021728515625,-1.060546875,-0.010986328125,19.77099236641221,-2.6793893129771,40.32824427480916,48.95685267448425,0.011979103088378906,0.967529296875,-0.20068359375,1.060546875,-0.010986328125,-16.16793893129771,-19.77099236641221,-11.71805076366896,-0.5935123979674959,-17.164766492185258,-4.3091526690515245,-12.855613823133734,2.972404430523099,2.9534326817288186,1.0934605079098885,1.0608263297397937,60.09609120659419,44.993761262333955,111.26132597491542,118.3890223546786,1.0550529322900966,1.4841773727902634,0.6926309852567604
4120,1779654344.6288807,-0.97119140625,0.365966796875,-0.210693359375,-21.396946564885496,-17.236641221374047,55.00763358778626,-0.063720703125,-1.048095703125,-0.01611328125,21.17557251908397,-3.2748091603053435,43.48854961832061,48.96889400482178,0.012041330337524414,0.97119140625,-0.210693359375,1.048095703125,-0.01611328125,-17.236641221374047,-21.17557251908397,-12.240254874583849,-0.8807881579425549,-17.269677308872065,-4.49046780134207,-12.779209507529995,3.048808746126838,3.0331584836018575,1.05902603163167,1.0501545451734589,61.487973424264744,48.48075076205543,114.33594725852534,120.09751913374859,1.069452718053654,1.1598814668422364,0.7384051432833071
4121,1779654344.6408706,-0.965576171875,0.307861328125,-0.200439453125,-13.49618320610687,-18.404580152671755,51.37404580152672,-0.06494140625,-1.058837890625,-0.010009765625,22.00763358778626,-3.6564885496183206,44.17557251908397,48.980883836746216,0.011989831924438477,0.965576171875,-0.200439453125,1.058837890625,-0.010009765625,-18.404580152671755,-22.00763358778626,-11.727208400353465,-0.541631769370977,-17.375082396918675,-4.670081551919389,-12.705000844999287,3.123017408657546,3.09807427594049,1.0330982118930985,1.0608747618247851,56.215372575001986,49.48926198718864,109.46355351090595,122.20451357878294,1.08292993012032,1.1275043039763233,0.7840571248608678
4122,1779654344.652858,-0.97216796875,0.58984375,-0.213134765625,-25.38167938931298,-18.69465648854962,56.9236641221374,-0.037841796875,-1.07177734375,-0.015625,21.946564885496183,-7.679389312977099,42.61068702290076,48.99287128448486,0.011987447738647461,0.97216796875,-0.213134765625,1.07177734375,-0.015625,-18.69465648854962,-21.946564885496183,-12.365689577907197,-0.8352323776865932,-17.494513733833934,-4.8512062020502995,-12.643307531783634,3.1847107218731985,3.14971837533235,1.1569151382861178,1.072559003874162,65.06937349426886,48.541687023188274,122.79002620386832,124.27316300559285,1.0964871876181599,0.760896983645722,0.8143250566902415
4123,1779654344.664842,-0.9990234375,0.427978515625,-0.204833984375,-26.11450381679389,-19.748091603053435,58.7557251908397,-0.055419921875,-1.069580078125,0.012939453125,22.862595419847327,-10.114503816793894,42.083969465648856,49.004855155944824,0.011983871459960938,0.9990234375,-0.204833984375,1.069580078125,0.012939453125,-19.748091603053435,-22.862595419847327,-11.587007420571494,0.6931130298429746,-17.608289027092198,-5.008822574069925,-12.599466453022274,3.228551800634559,3.1833299331262137,1.1059703430317798,1.0710930588467495,67.2620968619133,48.94958572630853,123.294218663363,126.46152576555659,1.1011722810550635,0.6272125761089455,0.809395575390126
