sample,time,s1_ax,s1_ay,s1_az,s1_gx,s1_gy,s1_gz,s2_ax,s2_ay,s2_az,s2_gx,s2_gy,s2_gz
1441,1780506923,-0.927001953,0.189453125,-0.183837891,-0.847328244,-0.41221374,-0.86259542,0.079833984,-1.003662109,0.023925781,-1.061068702,2.732824427,-0.305343511
1442,1780506923,-0.928955078,0.295898438,-0.190429688,1.374045802,-1.190839695,3.770992366,0.137695313,-1.0390625,0.030029297,-0.839694656,1.374045802,-8.671755725
1443,1780506923,-0.953125,0.081542969,-0.149414063,1.580152672,-1.267175573,4.557251908,0.004150391,-1.006103516,0.008789063,-0.061068702,3.152671756,-5.022900763
1444,1780506923,-0.913330078,0.197998047,-0.234619141,5.076335878,-1.664122137,-0.282442748,0.095214844,-1,0.027587891,-0.129770992,6.41221374,-0.664122137
1445,1780506923,-0.916748047,0.259033203,-0.202392578,-1.190839695,-0.473282443,-0.694656489,0.149169922,-0.994873047,0.010253906,-0.305343511,5.297709924,0.618320611
1446,1780506923,-0.948974609,0.1484375,-0.168701172,2.435114504,-1.442748092,0.778625954,0.203369141,-1.033691406,-0.0234375,0.41221374,7.450381679,-6.801526718
1447,1780506923,-0.990478516,0.289550781,-0.187011719,-3.389312977,-0.099236641,9.908396947,0.231201172,-0.997070313,-0.056640625,-0.778625954,11.66412214,-13.98473282
1448,1780506923,-0.995605469,-0.019775391,-0.185791016,14.7480916,-4.297709924,12.23664122,0.259033203,-1.022705078,-0.050537109,-0.610687023,20.5648855,-15.54198473
1449,1780506923,-0.997802734,0.111816406,-0.189453125,13.88549618,-6.816793893,13.45038168,0.295166016,-1.006835938,-0.071533203,-0.595419847,28.30534351,-16.90076336
1450,1780506924,-0.977783203,-0.046875,-0.182373047,24.99236641,-10.49618321,14.91603053,0.33984375,-0.974853516,-0.048583984,-3.435114504,33.83969466,-23.85496183
1451,1780506924,-0.997802734,0.122314453,-0.205322266,30.38167939,-13.2519084,23.8778626,0.351806641,-0.986083984,-0.087890625,-4.038167939,41.47328244,-34.77862595
1452,1780506924,-1.009277344,0.074707031,-0.203369141,39.01526718,-15.83969466,31.42748092,0.309082031,-0.991699219,-0.064453125,-5.175572519,50.41221374,-42.27480916
1453,1780506924,-1.004638672,0.111572266,-0.229736328,43.70992366,-17.08396947,35.66412214,0.261230469,-1.014892578,-0.001220703,-6.86259542,51.72519084,-46.67938931
1454,1780506924,-0.999511719,0.176757813,-0.219970703,44.01526718,-17.3129771,37.97709924,0.216796875,-1.017333984,0.031005859,-7.557251908,51.14503817,-48.85496183
1455,1780506924,-0.979492188,0.252441406,-0.209716797,43.32061069,-16.64122137,39.41221374,0.159912109,-1.038574219,0.027832031,-7.755725191,48.35877863,-50.84732824
1456,1780506924,-0.984130859,0.310791016,-0.204345703,39.8778626,-16.67938931,41.18320611,0.151123047,-1.061523438,-0.030517578,-7.580152672,45.77099237,-53.05343511
1457,1780506924,-1.001953125,0.368896484,-0.224121094,35.79389313,-16.17557252,44.45801527,0.186767578,-1.077880859,-0.036132813,-6.748091603,41.98473282,-55.30534351
1458,1780506924,-1.043701172,0.354492188,-0.253173828,31.20610687,-15.06870229,47.12977099,0.227783203,-1.094238281,-0.010742188,-6.030534351,36.2519084,-56.93129771
1459,1780506924,-1.049804688,0.308105469,-0.294433594,21.76335878,-13.93129771,47.40458015,0.214111328,-1.073730469,0.004150391,-5.351145038,32.32824427,-56.0610687
